menu_id,subtitle,fortune,message,luckyItem,action
pizza,대담함이 곧 행운입니다,92,큰 결정을 내리기 좋은 날입니다. 오후 3시 이후 중요한 기회가 찾아올 수 있습니다.,금색 액세서리 / 커피,상사나 선배에게 먼저 인사하세요. 예상치 못한 칭찬을 들을 수 있습니다.
pizza,모험이 성공을 부릅니다,88,평소 망설였던 일에 도전해보세요. 지금이 바로 그 타이밍입니다.,빨간색 소품 / 핫초코,점심 후 새로운 프로젝트 아이디어를 상사에게 제안해보세요.
pizza,풍요로운 하루가 기다립니다,95,오늘은 모든 일이 당신 편입니다. 자신감을 가지세요!,골드 펜 / 에스프레소,오후 미팅에서 적극적으로 발언하면 좋은 결과가 있을 것입니다.
chicken,황금빛 기회를 잡으세요,88,오늘 하루는 모든 일이 순조롭게 풀립니다. 특히 금전적인 부분에서 좋은 소식이 있을 수 있습니다.,노란색 소품 / 에너지 드링크,오후에 복권을 구매해보세요. 작은 행운이 찾아올 수 있습니다.
chicken,승리의 기운이 가득합니다,91,경쟁에서 승리할 운세입니다. 자신감 있게 밀고 나가세요.,황금색 볼펜 / 비타민,중요한 협상이나 미팅은 오후 2-4시 사이에 진행하세요.
chicken,행운이 날개를 달았습니다,86,예상치 못한 곳에서 기쁜 소식이 들려올 것입니다.,깃털 장식품 / 탄산수,오래된 친구나 지인에게 연락해보세요. 좋은 기회로 이어질 수 있습니다.
jjigae,따뜻한 인연의 시작,76,주변 사람들과의 관계가 더욱 돈독해집니다. 오래된 친구에게 연락해보세요.,빨간색 아이템 / 따뜻한 차,점심 후 동료들과 커피 한잔 하면서 소소한 대화를 나누세요.
jjigae,정겨운 하루가 펼쳐집니다,82,가족이나 가까운 사람과의 대화에서 중요한 영감을 얻게 됩니다.,손뜨개 소품 / 생강차,저녁에는 가족에게 전화해보세요. 반가운 소식을 들을 수 있습니다.
jjigae,포근한 기운이 감싸줍니다,79,스트레스가 해소되고 마음의 평화를 찾는 하루입니다.,담요 / 허브티,무리하지 말고 편안한 마음으로 하루를 보내세요.
ramen,단순함 속의 지혜,65,복잡한 생각을 내려놓고 단순하게 접근하면 해결책이 보입니다.,흰색 옷 / 생수,오늘은 무리하지 말고 일찍 퇴근하세요. 충분한 휴식이 내일의 행운을 부릅니다.
ramen,소박함이 빛나는 날,71,거창한 계획보다 작은 실천이 더 큰 결과를 가져옵니다.,메모장 / 미네랄워터,오늘 해야 할 일 3가지만 정하고 확실히 마무리하세요.
ramen,간결함의 미학,68,불필요한 것을 덜어내면 진짜 중요한 게 보입니다.,심플한 디자인 제품 / 레몬수,책상이나 디지털 파일을 정리하면 좋은 아이디어가 떠오를 것입니다.
salad,건강이 곧 재산입니다,81,건강한 선택이 금전적 이익으로 돌아옵니다. 장기적인 투자를 고려해보세요.,초록색 소품 / 비타민,퇴근 후 가벼운 운동을 하세요. 예상치 못한 좋은 만남이 있을 수 있습니다.
salad,신선한 기운이 넘칩니다,85,새로운 시작에 최적의 날입니다. 미뤄뒀던 계획을 실행하세요.,식물 / 프레시 주스,오전 중에 중요한 결정을 내리면 좋은 결과가 따릅니다.
salad,균형잡힌 하루,78,일과 휴식의 균형을 잘 맞추면 최상의 컨디션을 유지할 수 있습니다.,요가 매트 / 스무디,점심 후 10분 정도 스트레칭이나 산책을 하세요.
